subject,fold,balanced_accuracy,model,balanced_accuracy_pct
sub-p0002,1,0.25,CNN,25.0
sub-p0002,2,0.375,CNN,37.5
sub-p0002,3,0.2053571428571428,CNN,20.535714285714278
sub-p0002,4,0.1860119047619047,CNN,18.60119047619047
sub-p0002,1,0.5654761904761905,ANN,56.547619047619044
sub-p0002,2,0.4375,ANN,43.75
sub-p0002,3,0.4955357142857142,ANN,49.553571428571416
sub-p0002,4,0.4895833333333333,ANN,48.95833333333333
sub-p0004,1,0.2857142857142857,CNN,28.57142857142857
sub-p0004,2,0.25,CNN,25.0
sub-p0004,3,0.2678571428571428,CNN,26.785714285714278
sub-p0004,4,0.25,CNN,25.0
sub-p0004,1,0.2857142857142857,ANN,28.57142857142857
sub-p0004,2,0.581845238095238,ANN,58.1845238095238
sub-p0004,3,0.511904761904762,ANN,51.1904761904762
sub-p0004,4,0.5401785714285715,ANN,54.01785714285715
sub-p0005,1,0.2529761904761904,CNN,25.29761904761904
sub-p0005,2,0.2633928571428571,CNN,26.339285714285708
sub-p0005,3,0.3601190476190476,CNN,36.01190476190476
sub-p0005,4,0.2678571428571428,CNN,26.785714285714278
sub-p0005,1,0.4166666666666666,ANN,41.66666666666666
sub-p0005,2,0.4494047619047618,ANN,44.94047619047618
sub-p0005,3,0.3720238095238095,ANN,37.20238095238095
sub-p0005,4,0.3214285714285714,ANN,32.14285714285714
sub-p0008,1,0.25,CNN,25.0
sub-p0008,2,0.3005952380952381,CNN,30.059523809523807
sub-p0008,3,0.2202380952380952,CNN,22.023809523809522
sub-p0008,4,0.2172619047619047,CNN,21.72619047619047
sub-p0008,1,0.3214285714285714,ANN,32.14285714285714
sub-p0008,2,0.4910714285714285,ANN,49.10714285714285
sub-p0008,3,0.4449404761904761,ANN,44.49404761904761
sub-p0008,4,0.3898809523809523,ANN,38.98809523809523
sub-p0009,1,0.2514880952380952,CNN,25.14880952380952
sub-p0009,2,0.2529761904761904,CNN,25.29761904761904
sub-p0009,3,0.3348214285714286,CNN,33.48214285714286
sub-p0009,4,0.2261904761904761,CNN,22.61904761904761
sub-p0009,1,0.3556547619047619,ANN,35.56547619047619
sub-p0009,2,0.4583333333333333,ANN,45.83333333333333
sub-p0009,3,0.3095238095238095,ANN,30.95238095238095
sub-p0009,4,0.3511904761904761,ANN,35.11904761904761
sub-p0016,1,0.25,CNN,25.0
sub-p0016,2,0.2574404761904761,CNN,25.74404761904761
sub-p0016,3,0.3244047619047619,CNN,32.44047619047619
sub-p0016,4,0.1889880952380952,CNN,18.898809523809522
sub-p0016,1,0.3794642857142857,ANN,37.94642857142857
sub-p0016,2,0.3452380952380952,ANN,34.52380952380952
sub-p0016,3,0.3020833333333333,ANN,30.208333333333332
sub-p0016,4,0.3229166666666666,ANN,32.29166666666666
sub-p0023,1,0.2083333333333333,CNN,20.83333333333333
sub-p0023,2,0.1979166666666666,CNN,19.79166666666666
sub-p0023,3,0.25,CNN,25.0
sub-p0023,4,0.2142857142857143,CNN,21.42857142857143
sub-p0023,1,0.4092261904761905,ANN,40.92261904761905
sub-p0023,2,0.4583333333333333,ANN,45.83333333333333
sub-p0023,3,0.4345238095238095,ANN,43.45238095238095
sub-p0023,4,0.4404761904761904,ANN,44.047619047619044
sub-p0024,1,0.2142857142857143,CNN,21.42857142857143
sub-p0024,2,0.1696428571428571,CNN,16.964285714285708
sub-p0024,3,0.2470238095238095,CNN,24.70238095238095
sub-p0024,4,0.2589285714285714,CNN,25.89285714285714
sub-p0024,1,0.3988095238095238,ANN,39.88095238095238
sub-p0024,2,0.2916666666666666,ANN,29.166666666666657
sub-p0024,3,0.4523809523809524,ANN,45.23809523809524
sub-p0024,4,0.3452380952380952,ANN,34.52380952380952
