subject,fold,balanced_accuracy,model,balanced_accuracy_pct
sub-p0002,1,0.3333333333333333,GCN,33.33333333333333
sub-p0002,2,0.3333333333333333,GCN,33.33333333333333
sub-p0002,3,0.3244047619047618,GCN,32.44047619047618
sub-p0002,4,0.3392857142857143,GCN,33.92857142857143
sub-p0002,1,0.3630952380952381,GAT,36.30952380952381
sub-p0002,2,0.2827380952380952,GAT,28.27380952380952
sub-p0002,3,0.3392857142857143,GAT,33.92857142857143
sub-p0002,4,0.3333333333333333,GAT,33.33333333333333
sub-p0004,1,0.3035714285714285,GCN,30.35714285714285
sub-p0004,2,0.2708333333333333,GCN,27.083333333333332
sub-p0004,3,0.3363095238095238,GCN,33.63095238095238
sub-p0004,4,0.2976190476190476,GCN,29.761904761904763
sub-p0004,1,0.3258928571428571,GAT,32.58928571428571
sub-p0004,2,0.3958333333333333,GAT,39.58333333333333
sub-p0004,3,0.3273809523809524,GAT,32.73809523809524
sub-p0004,4,0.4166666666666667,GAT,41.66666666666667
sub-p0005,1,0.2857142857142857,GCN,28.57142857142857
sub-p0005,2,0.3511904761904761,GCN,35.11904761904761
sub-p0005,3,0.3035714285714286,GCN,30.35714285714286
sub-p0005,4,0.2678571428571428,GCN,26.785714285714278
sub-p0005,1,0.2857142857142857,GAT,28.57142857142857
sub-p0005,2,0.4375,GAT,43.75
sub-p0005,3,0.4166666666666666,GAT,41.66666666666666
sub-p0005,4,0.2708333333333333,GAT,27.083333333333332
sub-p0008,1,0.25,GCN,25.0
sub-p0008,2,0.3154761904761904,GCN,31.54761904761904
sub-p0008,3,0.3273809523809524,GCN,32.73809523809524
sub-p0008,4,0.2738095238095238,GCN,27.38095238095238
sub-p0008,1,0.3035714285714286,GAT,30.35714285714286
sub-p0008,2,0.3630952380952381,GAT,36.30952380952381
sub-p0008,3,0.3675595238095238,GAT,36.75595238095238
sub-p0008,4,0.3229166666666666,GAT,32.29166666666666
sub-p0009,1,0.3125,GCN,31.25
sub-p0009,2,0.3660714285714285,GCN,36.60714285714285
sub-p0009,3,0.337797619047619,GCN,33.7797619047619
sub-p0009,4,0.2946428571428571,GCN,29.464285714285708
sub-p0009,1,0.2916666666666667,GAT,29.166666666666668
sub-p0009,2,0.3660714285714285,GAT,36.60714285714285
sub-p0009,3,0.3095238095238095,GAT,30.95238095238095
sub-p0009,4,0.2901785714285714,GAT,29.01785714285714
sub-p0016,1,0.3258928571428571,GCN,32.58928571428571
sub-p0016,2,0.2946428571428571,GCN,29.464285714285708
sub-p0016,3,0.34375,GCN,34.375
sub-p0016,4,0.28125,GCN,28.125
sub-p0016,1,0.3973214285714286,GAT,39.73214285714286
sub-p0016,2,0.4285714285714285,GAT,42.85714285714285
sub-p0016,3,0.3645833333333333,GAT,36.45833333333333
sub-p0016,4,0.34375,GAT,34.375
sub-p0023,1,0.2827380952380952,GCN,28.27380952380952
sub-p0023,2,0.2708333333333333,GCN,27.083333333333332
sub-p0023,3,0.25,GCN,25.0
sub-p0023,4,0.3125,GCN,31.25
sub-p0023,1,0.3556547619047618,GAT,35.56547619047618
sub-p0023,2,0.3244047619047619,GAT,32.44047619047619
sub-p0023,3,0.2857142857142857,GAT,28.57142857142857
sub-p0023,4,0.25,GAT,25.0
sub-p0024,1,0.3258928571428571,GCN,32.58928571428571
sub-p0024,2,0.3586309523809524,GCN,35.86309523809524
sub-p0024,3,0.2946428571428571,GCN,29.464285714285708
sub-p0024,4,0.25,GCN,25.0
sub-p0024,1,0.25,GAT,25.0
sub-p0024,2,0.2857142857142857,GAT,28.57142857142857
sub-p0024,3,0.3824404761904761,GAT,38.24404761904761
sub-p0024,4,0.3005952380952381,GAT,30.059523809523807
