subject,fold,balanced_accuracy,model,balanced_accuracy_pct
sub-p0002,1,0.28125,SVC,28.125
sub-p0002,2,0.3958333333333333,SVC,39.58333333333333
sub-p0002,3,0.4598214285714286,SVC,45.98214285714286
sub-p0002,4,0.3095238095238095,SVC,30.95238095238095
sub-p0002,1,0.5654761904761905,ANN,56.547619047619044
sub-p0002,2,0.4375,ANN,43.75
sub-p0002,3,0.4955357142857142,ANN,49.553571428571416
sub-p0002,4,0.4895833333333333,ANN,48.95833333333333
sub-p0004,1,0.3095238095238095,SVC,30.95238095238095
sub-p0004,2,0.4404761904761904,SVC,44.047619047619044
sub-p0004,3,0.5550595238095238,SVC,55.50595238095239
sub-p0004,4,0.4910714285714286,SVC,49.10714285714286
sub-p0004,1,0.2857142857142857,ANN,28.57142857142857
sub-p0004,2,0.581845238095238,ANN,58.1845238095238
sub-p0004,3,0.511904761904762,ANN,51.1904761904762
sub-p0004,4,0.5401785714285715,ANN,54.01785714285715
sub-p0005,1,0.3571428571428571,SVC,35.71428571428571
sub-p0005,2,0.3675595238095238,SVC,36.75595238095238
sub-p0005,3,0.2782738095238095,SVC,27.82738095238095
sub-p0005,4,0.25,SVC,25.0
sub-p0005,1,0.4166666666666666,ANN,41.66666666666666
sub-p0005,2,0.4494047619047618,ANN,44.94047619047618
sub-p0005,3,0.3720238095238095,ANN,37.20238095238095
sub-p0005,4,0.3214285714285714,ANN,32.14285714285714
sub-p0008,1,0.25,SVC,25.0
sub-p0008,2,0.3869047619047619,SVC,38.69047619047619
sub-p0008,3,0.2663690476190476,SVC,26.636904761904763
sub-p0008,4,0.306547619047619,SVC,30.6547619047619
sub-p0008,1,0.3214285714285714,ANN,32.14285714285714
sub-p0008,2,0.4910714285714285,ANN,49.10714285714285
sub-p0008,3,0.4449404761904761,ANN,44.49404761904761
sub-p0008,4,0.3898809523809523,ANN,38.98809523809523
sub-p0009,1,0.2098214285714285,SVC,20.98214285714285
sub-p0009,2,0.3363095238095238,SVC,33.63095238095238
sub-p0009,3,0.1770833333333333,SVC,17.70833333333333
sub-p0009,4,0.1889880952380952,SVC,18.898809523809522
sub-p0009,1,0.3556547619047619,ANN,35.56547619047619
sub-p0009,2,0.4583333333333333,ANN,45.83333333333333
sub-p0009,3,0.3095238095238095,ANN,30.95238095238095
sub-p0009,4,0.3511904761904761,ANN,35.11904761904761
sub-p0014,1,0.3958333333333333,SVC,39.58333333333333
sub-p0014,2,0.3586309523809524,SVC,35.86309523809524
sub-p0014,3,0.3184523809523809,SVC,31.845238095238088
sub-p0014,4,0.3005952380952381,SVC,30.059523809523807
sub-p0014,1,0.4166666666666666,ANN,41.66666666666666
sub-p0014,2,0.5104166666666666,ANN,51.041666666666664
sub-p0014,3,0.369047619047619,ANN,36.9047619047619
sub-p0014,4,0.4255952380952381,ANN,42.55952380952381
sub-p0015,1,0.181547619047619,SVC,18.1547619047619
sub-p0015,2,0.2857142857142857,SVC,28.57142857142857
sub-p0015,3,0.2395833333333333,SVC,23.95833333333333
sub-p0015,4,0.2321428571428571,SVC,23.214285714285708
sub-p0015,1,0.3214285714285714,ANN,32.14285714285714
sub-p0015,2,0.3348214285714286,ANN,33.48214285714286
sub-p0015,3,0.34375,ANN,34.375
sub-p0015,4,0.4151785714285714,ANN,41.51785714285714
sub-p0016,1,0.3125,SVC,31.25
sub-p0016,2,0.2366071428571428,SVC,23.660714285714278
sub-p0016,3,0.1666666666666666,SVC,16.66666666666666
sub-p0016,4,0.2351190476190476,SVC,23.51190476190476
sub-p0016,1,0.3794642857142857,ANN,37.94642857142857
sub-p0016,2,0.3452380952380952,ANN,34.52380952380952
sub-p0016,3,0.3020833333333333,ANN,30.208333333333332
sub-p0016,4,0.3229166666666666,ANN,32.29166666666666
sub-p0023,1,0.2857142857142857,SVC,28.57142857142857
sub-p0023,2,0.4032738095238095,SVC,40.32738095238095
sub-p0023,3,0.4375,SVC,43.75
sub-p0023,4,0.2901785714285714,SVC,29.01785714285714
sub-p0023,1,0.4092261904761905,ANN,40.92261904761905
sub-p0023,2,0.4583333333333333,ANN,45.83333333333333
sub-p0023,3,0.4345238095238095,ANN,43.45238095238095
sub-p0023,4,0.4404761904761904,ANN,44.047619047619044
sub-p0024,1,0.25,SVC,25.0
sub-p0024,2,0.2693452380952381,SVC,26.934523809523807
sub-p0024,3,0.3273809523809524,SVC,32.73809523809524
sub-p0024,4,0.28125,SVC,28.125
sub-p0024,1,0.3988095238095238,ANN,39.88095238095238
sub-p0024,2,0.2916666666666666,ANN,29.166666666666657
sub-p0024,3,0.4523809523809524,ANN,45.23809523809524
sub-p0024,4,0.3452380952380952,ANN,34.52380952380952
