experiment_id,architecture,hidden1,hidden2,weight_decay,dropout_rate,pca_components,learning_rate,mean_accuracy,std_accuracy,macro_sensitivity,macro_specificity,macro_precision,macro_f1,weighted_sensitivity,weighted_specificity,weighted_precision,weighted_f1,per_class_sensitivity,per_class_specificity,per_class_precision,per_class_f1,total_epochs,training_time_s,model_file,confusion_matrix_file
1,1-layer,64,None,0.0001,0.2,None,0.001,0.41875,0.03697549864437259,0.47693452380952384,0.8039451357466063,0.3893423788010502,0.3847137815387243,0.41875,0.7970305429864254,0.3314371383349578,0.3273571980208136,"[0.7083333333333334, 0.5625, 0.4583333333333333, 0.17857142857142858]","[0.9705882352941176, 0.6875, 0.6250000000000001, 0.9326923076923077]","[0.8333333333333334, 0.255653828929691, 0.17254901960784313, 0.29583333333333334]","[0.75, 0.3247747747747748, 0.2505175983436853, 0.21356275303643724]",858,11.71140193939209,model_h64_wd0.0001_dr0.2.pt,model_h64_wd0.0001_dr0.2_confusion_matrix.npy
2,1-layer,64,None,0.0001,0.3,None,0.001,0.425,0.039528470752104736,0.4661458333333333,0.8019718103587589,0.5141682410203577,0.43203714858126624,0.425,0.7828872414350356,0.48137543965061125,0.3955485418720713,"[0.6666666666666666, 0.53125, 0.2916666666666667, 0.375]","[0.9485294117647058, 0.7421875, 0.7767857142857143, 0.7403846153846154]","[0.7535714285714286, 0.47200292397660815, 0.33890746934225197, 0.49219114219114224]","[0.6836496836496836, 0.39493464052287586, 0.2666666666666667, 0.38289760348583873]",883,10.128696203231812,model_h64_wd0.0001_dr0.3.pt,model_h64_wd0.0001_dr0.3_confusion_matrix.npy
3,1-layer,64,None,0.0001,0.4,None,0.001,0.36249999999999993,0.04145780987944252,0.4263392857142857,0.7906090921945701,0.4462745405179615,0.33810006123640424,0.3625,0.7999363687782806,0.4017893692564745,0.28411029374436814,"[0.5833333333333333, 0.6875, 0.29166666666666663, 0.14285714285714285]","[0.9779411764705883, 0.4921875, 0.75, 0.9423076923076923]","[0.8666666666666666, 0.19365079365079363, 0.41228070175438597, 0.3125]","[0.6734848484848485, 0.2996205246658967, 0.19179487179487179, 0.1875]",1011,11.620868682861328,model_h64_wd0.0001_dr0.4.pt,model_h64_wd0.0001_dr0.4_confusion_matrix.npy
4,1-layer,64,None,0.001,0.2,None,0.001,0.36250000000000004,0.021650635094610987,0.38095238095238093,0.7802690186651584,0.35842458893445733,0.30262374957328764,0.3625,0.7585760746606335,0.3522700928457507,0.28544771976084965,"[0.5, 0.3125, 0.47916666666666663, 0.23214285714285712]","[0.8897058823529411, 0.8515625, 0.5625, 0.8173076923076923]","[0.5032894736842105, 0.1907894736842105, 0.40496031746031746, 0.3346590909090909]","[0.45, 0.23148148148148148, 0.2700661483906165, 0.2589473684210526]",893,10.283162117004395,model_h64_wd0.001_dr0.2.pt,model_h64_wd0.001_dr0.2_confusion_matrix.npy
5,1-layer,64,None,0.001,0.3,None,0.001,0.36250000000000004,0.02795084971874738,0.41815476190476186,0.7866826418067226,0.42422050395840716,0.34896541324172903,0.3625,0.7842305672268907,0.39793581250738513,0.3031012656933709,"[0.6666666666666666, 0.5, 0.2916666666666667, 0.21428571428571427]","[0.9558823529411764, 0.6015625, 0.7142857142857143, 0.875]","[0.7535714285714286, 0.17311827956989245, 0.3858173076923077, 0.384375]","[0.6991258741258741, 0.23346828609986506, 0.21209790209790208, 0.2511695906432748]",865,9.909791946411133,model_h64_wd0.001_dr0.3.pt,model_h64_wd0.001_dr0.3_confusion_matrix.npy
6,1-layer,64,None,0.001,0.4,None,0.001,0.41875,0.062186714819163734,0.4680059523809524,0.8084977981577247,0.4315217178388534,0.40740180443809476,0.41875,0.8152411926308986,0.4149418164955249,0.3778251925792248,"[0.625, 0.6875, 0.16666666666666666, 0.39285714285714285]","[0.9264705882352942, 0.578125, 0.8928571428571429, 0.8365384615384616]","[0.6821428571428572, 0.28228900255754474, 0.20833333333333331, 0.5533216783216783]","[0.6201194638694639, 0.39564516129032257, 0.18333333333333335, 0.43050925925925926]",852,11.113908529281616,model_h64_wd0.001_dr0.4.pt,model_h64_wd0.001_dr0.4_confusion_matrix.npy
7,1-layer,64,None,0.01,0.2,None,0.001,0.36875,0.04098399077688752,0.42745535714285715,0.7888503959276019,0.3821997549019608,0.35444243756538374,0.36875,0.7866515837104072,0.33569327731092435,0.30240666587513154,"[0.625, 0.59375, 0.3125, 0.17857142857142855]","[0.9558823529411764, 0.59375, 0.75, 0.8557692307692307]","[0.7416666666666666, 0.23005952380952382, 0.33088235294117646, 0.22619047619047616]","[0.6734848484848485, 0.3135093669250646, 0.24178743961352658, 0.18898809523809523]",835,9.10166335105896,model_h64_wd0.01_dr0.2.pt,model_h64_wd0.01_dr0.2_confusion_matrix.npy
8,1-layer,64,None,0.01,0.3,None,0.001,0.36875,0.0369754986443726,0.44308035714285715,0.7917807146897221,0.3875225468975469,0.33947289380725915,0.36875,0.7983728587588882,0.3536133658008658,0.28960203764673575,"[0.75, 0.59375, 0.25, 0.17857142857142855]","[0.8823529411764706, 0.6171875, 0.8214285714285714, 0.8461538461538463]","[0.66875, 0.2318452380952381, 0.4078282828282829, 0.24166666666666664]","[0.6410984848484849, 0.31012426900584794, 0.21843352725705667, 0.18823529411764706]",893,10.673868417739868,model_h64_wd0.01_dr0.3.pt,model_h64_wd0.01_dr0.3_confusion_matrix.npy
9,1-layer,64,None,0.01,0.4,None,0.001,0.3875,0.02795084971874738,0.45126488095238104,0.7972701700872658,0.38760252963882,0.3527351654548503,0.3875,0.8015806803490628,0.3785284842845326,0.3139777705171607,"[0.7083333333333334, 0.59375, 0.27083333333333337, 0.23214285714285715]","[0.8455882352941176, 0.7109375, 0.7767857142857143, 0.8557692307692308]","[0.5173611111111112, 0.26629273504273504, 0.4139784946236559, 0.35277777777777775]","[0.5744047619047619, 0.36303800366300365, 0.2102961637845359, 0.26320173246709977]",1076,12.952043056488037,model_h64_wd0.01_dr0.4.pt,model_h64_wd0.01_dr0.4_confusion_matrix.npy
10,1-layer,128,None,0.0001,0.2,None,0.001,0.4,0.046770717334674264,0.44419642857142855,0.7960682470103426,0.41932832792207786,0.36419191033552734,0.4,0.7842729880413705,0.3768465909090909,0.3171965150688555,"[0.6666666666666666, 0.4375, 0.45833333333333337, 0.21428571428571427]","[0.9705882352941176, 0.7109375, 0.5892857142857143, 0.9134615384615384]","[0.8428571428571427, 0.14204545454545453, 0.40669642857142857, 0.2857142857142857]","[0.7356643356643356, 0.2138888888888889, 0.26911917869364677, 0.23809523809523808]",901,13.580614805221558,model_h128_wd0.0001_dr0.2.pt,model_h128_wd0.0001_dr0.2_confusion_matrix.npy
