experiment_id,architecture,hidden1,hidden2,weight_decay,dropout_rate,pca_components,mean_accuracy,std_accuracy,macro_sensitivity,macro_specificity,macro_precision,macro_f1,weighted_sensitivity,weighted_specificity,weighted_precision,weighted_f1,per_class_sensitivity,per_class_specificity,per_class_precision,per_class_f1,total_epochs,training_time_s,model_file,confusion_matrix_file
224,2-layer-PCA50,128,32.0,0.5,0.6,50.0,0.46875,0.0596212000885591,0.4382440476190476,0.8039085225436329,0.5074640798401472,0.3954825801328654,0.46875,0.7468840901745313,0.4727187733597837,0.3896792755852759,"[0.45833333333333326, 0.25, 0.31249999999999994, 0.7321428571428572]","[0.9852941176470589, 0.9453125, 0.7946428571428572, 0.49038461538461536]","[0.7, 0.5303030303030303, 0.36370967741935484, 0.4358436116382036]","[0.5484848484848486, 0.27804359383306754, 0.25185655657611883, 0.5035453216374268]",995,15.34213376045227,model_h128-32_wd0.5_dr0.6_pca50.pt,model_h128-32_wd0.5_dr0.6_pca50_confusion_matrix.npy
124,1-layer-PCA50,8,,0.5,0.5,50.0,0.45625,0.0409839907768875,0.433407738095238,0.8085571367970266,0.3881502329192546,0.3475967055385007,0.45625,0.7779785471881059,0.4063921492510047,0.367651328335059,"[0.5, 0.15625, 0.5416666666666666, 0.5357142857142857]","[0.8897058823529411, 0.9296875, 0.7321428571428571, 0.6826923076923077]","[0.4632352941176471, 0.08928571428571429, 0.6195652173913043, 0.3805147058823529]","[0.3982919254658385, 0.11363636363636363, 0.4456043956043956, 0.4328541374474053]",960,6.385331630706787,model_h8_wd0.5_dr0.5_pca50.pt,model_h8_wd0.5_dr0.5_pca50_confusion_matrix.npy
52,2-layer,64,16.0,0.01,0.2,,0.45625,0.0569402098696518,0.4691220238095238,0.8079006241919844,0.434385498080351,0.4025758069685554,0.45625,0.7753524967679379,0.3793416203894145,0.3684164833645057,"[0.625, 0.40625, 0.2916666666666667, 0.5535714285714286]","[0.9852941176470589, 0.8046875, 0.7589285714285714, 0.6826923076923077]","[0.9166666666666666, 0.2419871794871795, 0.18333333333333335, 0.39555481283422456]","[0.7189393939393939, 0.2814039408866995, 0.18382352941176472, 0.42613636363636365]",1050,14.783059120178224,model_h64-16_wd0.01_dr0.2.pt,model_h64-16_wd0.01_dr0.2_confusion_matrix.npy
45,2-layer,128,32.0,0.01,0.4,,0.45,0.0586301969977928,0.5003720238095238,0.8103953720911441,0.407183908045977,0.4168935392772602,0.45,0.7915814883645765,0.3579741379310345,0.3668151519023612,"[0.8333333333333334, 0.40625, 0.45833333333333326, 0.3035714285714286]","[0.8970588235294118, 0.8671875, 0.6696428571428572, 0.8076923076923077]","[0.6833333333333333, 0.4, 0.30833333333333335, 0.23706896551724138]","[0.7213203463203464, 0.37362637362637363, 0.33055555555555555, 0.24207188160676532]",1080,21.13863730430603,model_h128-32_wd0.01_dr0.4.pt,model_h128-32_wd0.01_dr0.4_confusion_matrix.npy
40,2-layer,128,32.0,0.001,0.2,,0.45,0.0749999999999999,0.4810267857142858,0.8075723678894635,0.4125242980256618,0.4157203149619732,0.45,0.7802894715578539,0.3617580616924189,0.3719913717335356,"[0.7083333333333334, 0.46875, 0.22916666666666669, 0.5178571428571429]","[0.9705882352941176, 0.7734375, 0.8035714285714286, 0.6826923076923076]","[0.8160714285714286, 0.2818627450980392, 0.20564516129032256, 0.34651785714285716]","[0.7513986013986015, 0.34758454106280195, 0.15199335548172757, 0.4119047619047619]",939,17.358036756515503,model_h128-32_wd0.001_dr0.2.pt,model_h128-32_wd0.001_dr0.2_confusion_matrix.npy
215,2-layer-PCA50,256,64.0,0.5,0.6,50.0,0.4499999999999999,0.0612372435695794,0.4587053571428571,0.8105569751939238,0.4069669479038807,0.3906730073729653,0.45,0.7922279007756949,0.4185958475885881,0.3852906708047582,"[0.5416666666666666, 0.46875, 0.2708333333333333, 0.5535714285714286]","[0.9485294117647058, 0.7421875, 0.8303571428571429, 0.7211538461538463]","[0.5035714285714286, 0.24912587412587414, 0.2614942528735632, 0.6136762360446572]","[0.516983016983017, 0.3214285714285714, 0.2008130081300813, 0.5234674329501916]",958,13.060858964920044,model_h256-64_wd0.5_dr0.6_pca50.pt,model_h256-64_wd0.5_dr0.6_pca50_confusion_matrix.npy
35,2-layer,256,64.0,0.01,0.3,,0.44375,0.0480071609241788,0.5037202380952381,0.8159378535067873,0.4036356923305453,0.4194289230426959,0.44375,0.8200014140271492,0.3522631575940399,0.3695123572238846,"[0.7083333333333334, 0.6875, 0.33333333333333337, 0.2857142857142857]","[0.9338235294117647, 0.6328125, 0.8125, 0.8846153846153846]","[0.7708333333333333, 0.30919117647058825, 0.24562937062937062, 0.28888888888888886]","[0.7055555555555555, 0.42031517094017096, 0.2705949656750572, 0.28125]",861,21.47398447990417,model_h256-64_wd0.01_dr0.3.pt,model_h256-64_wd0.01_dr0.3_confusion_matrix.npy
39,2-layer,128,32.0,0.0001,0.4,,0.44375,0.0324759526419164,0.5078125,0.8151109001292824,0.4229823360763763,0.4252322757674496,0.44375,0.8166936005171298,0.3962223958961575,0.3808020182217421,"[0.7083333333333333, 0.71875, 0.35416666666666663, 0.25]","[0.8823529411764706, 0.71875, 0.8035714285714286, 0.8557692307692307]","[0.5888888888888889, 0.3901572112098428, 0.393030303030303, 0.31985294117647056]","[0.6166666666666667, 0.5016912064966985, 0.31872307089698393, 0.26384815900944936]",988,17.393227338790894,model_h128-32_wd0.0001_dr0.4.pt,model_h128-32_wd0.0001_dr0.4_confusion_matrix.npy
203,2-layer-PCA30,64,16.0,0.3,0.6,30.0,0.4375,0.0216506350946109,0.3939732142857143,0.7951541794602457,0.4111748899248899,0.3383298586130743,0.4375,0.7431167178409825,0.4044570059570059,0.3592035731527067,"[0.41666666666666663, 0.09375, 0.33333333333333337, 0.7321428571428571]","[0.9411764705882353, 0.9296875, 0.8482142857142857, 0.46153846153846156]","[0.5416666666666666, 0.29545454545454547, 0.3707264957264957, 0.4368518518518519]","[0.4138888888888889, 0.10818713450292397, 0.309047619047619, 0.5221957920128651]",877,10.42224383354187,model_h64-16_wd0.3_dr0.6_pca30.pt,model_h64-16_wd0.3_dr0.6_pca30_confusion_matrix.npy
41,2-layer,128,32.0,0.001,0.3,,0.4375,0.0375,0.488095238095238,0.8114824054621849,0.4717449491298175,0.4057221383600059,0.4375,0.8084296218487396,0.4812091417354575,0.370002682366653,"[0.7083333333333333, 0.5625, 0.3958333333333333, 0.2857142857142857]","[0.9044117647058822, 0.734375, 0.7321428571428571, 0.875]","[0.6028138528138528, 0.2693452380952381, 0.3653846153846154, 0.6494360902255638]","[0.6432880844645551, 0.359375, 0.3088888888888889, 0.31133658008658005]",987,16.70770835876465,model_h128-32_wd0.001_dr0.3.pt,model_h128-32_wd0.001_dr0.3_confusion_matrix.npy
