model_a,model_b,class,n_subjects,mean_spearman_r,mean_dice_top10pct
SVC,ANN,Middle_Finger,10,0.30276564075498275,0.15321100917431194
SVC,ANN,Hand,10,0.2966989700512309,0.14036697247706423
SVC,ANN,Forearm,10,0.315186923704463,0.1559633027522936
SVC,ANN,Arm,10,0.3717678994400293,0.21926605504587154
SVC,CNN,Middle_Finger,8,0.22044139929263054,0.11467889908256881
SVC,CNN,Hand,8,0.23163227202762826,0.12155963302752294
SVC,CNN,Forearm,8,0.2382158142787854,0.13302752293577982
SVC,CNN,Arm,8,0.25598506934683546,0.12385321100917432
SVC,GNN,Middle_Finger,10,0.26147559095366724,0.12018348623853212
SVC,GNN,Hand,10,0.24999230356335406,0.11605504587155964
SVC,GNN,Forearm,10,0.25998866521044434,0.12706422018348626
SVC,GNN,Arm,10,0.2677840917213091,0.11972477064220184
SVC,GCN,Middle_Finger,8,0.24778694816691366,0.16685779816513763
SVC,GCN,Hand,8,0.241537055838583,0.13646788990825687
SVC,GCN,Forearm,8,0.26078826540074357,0.15768348623853212
SVC,GCN,Arm,8,0.2631014392961344,0.16055045871559634
ANN,CNN,Middle_Finger,8,0.45924673915552167,0.2889908256880734
ANN,CNN,Hand,8,0.4473541277400995,0.2775229357798165
ANN,CNN,Forearm,8,0.4460177988267656,0.28440366972477066
ANN,CNN,Arm,8,0.4560153830334434,0.2815366972477064
ANN,GNN,Middle_Finger,10,0.445085654152384,0.3155963302752294
ANN,GNN,Hand,10,0.4444590535507931,0.3252293577981652
ANN,GNN,Forearm,10,0.43549451932956373,0.30871559633027523
ANN,GNN,Arm,10,0.4480756540870545,0.3188073394495413
ANN,GCN,Middle_Finger,8,0.5462808059621506,0.3847477064220184
ANN,GCN,Hand,8,0.5247094971168259,0.3618119266055046
ANN,GCN,Forearm,8,0.4875237008643804,0.3165137614678899
ANN,GCN,Arm,8,0.5174389503510353,0.35149082568807344
CNN,GNN,Middle_Finger,8,0.4235220277116174,0.2826834862385321
CNN,GNN,Hand,8,0.4420804216329287,0.32339449541284404
CNN,GNN,Forearm,8,0.42260322988284577,0.3216743119266055
CNN,GNN,Arm,8,0.42832666606972175,0.3096330275229358
CNN,GCN,Middle_Finger,8,0.5199246077954848,0.30561926605504586
CNN,GCN,Hand,8,0.5009881039630195,0.29243119266055045
CNN,GCN,Forearm,8,0.4791358390860841,0.2763761467889908
CNN,GCN,Arm,8,0.46955297075360036,0.29644495412844035
GNN,GCN,Middle_Finger,8,0.47781687609538204,0.4071100917431193
GNN,GCN,Hand,8,0.44876822215494266,0.40022935779816515
GNN,GCN,Forearm,8,0.4554712874595417,0.3813073394495413
GNN,GCN,Arm,8,0.44712771236679794,0.37672018348623854
