model,class,rank,voxel_index,mni_x,mni_y,mni_z,mean_abs_shap
SVC,Middle_Finger,1,2160,-13.1,-33.1,68.7,0.027556944638490677
SVC,Middle_Finger,2,335,-58.0,-17.1,39.9,0.025596385821700096
SVC,Middle_Finger,3,2069,-18.0,-37.9,71.9,0.021018575876951218
SVC,Middle_Finger,4,107,-61.2,-17.1,39.9,0.020065706223249435
SVC,Middle_Finger,5,2104,-18.0,-28.3,75.1,0.019628481939435005
SVC,Middle_Finger,6,2040,-19.6,-33.1,70.3,0.019539576023817062
SVC,Middle_Finger,7,1238,-43.6,-34.7,55.9,0.019047442823648453
SVC,Middle_Finger,8,2042,-19.6,-33.1,73.5,0.01866929419338703
SVC,Middle_Finger,9,2091,-18.0,-31.5,71.9,0.01827176846563816
SVC,Middle_Finger,10,2090,-18.0,-31.5,70.3,0.01783576048910618
SVC,Hand,1,335,-58.0,-17.1,39.9,0.04376218095421791
SVC,Hand,2,107,-61.2,-17.1,39.9,0.03456065058708191
SVC,Hand,3,2170,-13.1,-31.5,76.7,0.027630483731627464
SVC,Hand,4,2119,-16.3,-33.1,75.1,0.024409200996160507
SVC,Hand,5,442,-56.4,-20.3,46.3,0.02228541299700737
SVC,Hand,6,844,-50.0,-25.1,43.1,0.02106383815407753
SVC,Hand,7,2091,-18.0,-31.5,71.9,0.02079949900507927
SVC,Hand,8,2085,-18.0,-33.1,75.1,0.020268382504582405
SVC,Hand,9,285,-58.0,-21.9,39.9,0.020069867372512817
SVC,Hand,10,2144,-14.7,-33.1,75.1,0.01948634162545204
SVC,Forearm,1,2062,-19.6,-28.3,71.9,0.033439744263887405
SVC,Forearm,2,2083,-18.0,-33.1,71.9,0.025970477610826492
SVC,Forearm,3,2119,-16.3,-33.1,75.1,0.025854846462607384
SVC,Forearm,4,1354,-42.0,-34.7,51.1,0.024167567491531372
SVC,Forearm,5,2145,-14.7,-33.1,76.7,0.022425871342420578
SVC,Forearm,6,2111,-16.3,-34.7,71.9,0.021868359297513962
SVC,Forearm,7,2085,-18.0,-33.1,75.1,0.021850813180208206
SVC,Forearm,8,2110,-16.3,-34.7,70.3,0.021753856912255287
SVC,Forearm,9,844,-50.0,-25.1,43.1,0.02038426510989666
SVC,Forearm,10,2069,-18.0,-37.9,71.9,0.020379837602376938
SVC,Arm,1,2041,-19.6,-33.1,71.9,0.024772517383098602
SVC,Arm,2,2062,-19.6,-28.3,71.9,0.021403921768069267
SVC,Arm,3,2090,-18.0,-31.5,70.3,0.020822402089834213
SVC,Arm,4,2134,-14.7,-34.7,70.3,0.020778436213731766
SVC,Arm,5,2111,-16.3,-34.7,71.9,0.020028525963425636
SVC,Arm,6,844,-50.0,-25.1,43.1,0.01991022750735283
SVC,Arm,7,1002,-48.4,-15.5,51.1,0.01989295333623886
SVC,Arm,8,1297,-43.6,-23.5,59.1,0.019824665039777756
SVC,Arm,9,2042,-19.6,-33.1,73.5,0.019524766132235527
SVC,Arm,10,2085,-18.0,-33.1,75.1,0.019441820681095123
ANN,Middle_Finger,1,300,-58.0,-20.3,39.9,0.028850406408309937
