Condition,peak_x,peak_y,peak_z,hemisphere,n_suprathreshold,per_condition_accuracy
E1,22.122003316879272,-9.068996548652649,44.70000183582306,RIGHT,4106,0.0
E10,-16.349997758865356,16.579004168510437,49.50000190734863,LEFT,4106,0.375
E11,-13.14399766921997,-28.304997086524963,52.70000195503235,LEFT,4106,0.0
E12,2.886002779006958,-13.877996683120728,63.900002121925354,MIDLINE,4106,0.0
E13,-14.746997714042664,-2.6569963693618774,46.30000185966492,LEFT,4106,0.125
E14,9.29800295829773,-33.11399722099304,57.50000202655792,RIGHT,4106,0.0
E15,17.313003182411194,6.96100389957428,57.50000202655792,RIGHT,4106,0.0
E16,-32.379998207092285,-47.54099762439728,68.70000219345093,LEFT,4106,0.0
E17,15.710003137588501,2.152003765106201,52.70000195503235,RIGHT,4106,0.0
E18,-8.334997534751892,-13.877996683120728,59.10000205039978,LEFT,4106,0.0
E19,18.916003227233887,-47.54099762439728,60.70000207424164,RIGHT,4106,0.0
E2,15.710003137588501,14.976004123687744,54.30000197887421,RIGHT,4106,0.0
E20,31.74000358581543,-18.686996817588806,59.10000205039978,RIGHT,4106,0.0
E3,-32.379998207092285,-31.51099717617035,57.50000202655792,LEFT,4106,0.0
E4,12.504003047943115,-26.70199704170227,75.10000228881836,RIGHT,4106,0.0
E5,-9.937997579574585,31.006004571914673,57.50000202655792,LEFT,4106,0.0
E6,14.107003092765808,-15.48099672794342,62.300002098083496,RIGHT,4106,0.125
E7,28.534003496170044,-15.48099672794342,63.900002121925354,RIGHT,4106,0.0
E8,20.51900327205658,10.167003989219666,57.50000202655792,RIGHT,4106,0.0
E9,20.51900327205658,10.167003989219666,47.900001883506775,RIGHT,4106,0.0
